,funding type,Categories,CB Rank (Company),Estimated Revenue Range,Operating Status,Number of Employees,Funding Status,Total Funding Amount Currency (in USD),fund_date
0,Series A,"Computer, Machine Learning, Manufacturing, Robotics, Software",550,,Active,251-500,Early Stage Venture,179000000.0,2018
1,Series A,"Manufacturing, Robotics",653,Less than $1M,Active,11-50,Early Stage Venture,30242013.0,2015
2,Series D,"Artificial Intelligence, Consumer Electronics, Machine Learning, Robotics",582,$10M to $50M,Closed,101-250,Late Stage Venture,182000000.0,2010
3,Seed,"Artificial Intelligence, Autonomous Vehicles, Computer, Embedded Software, Machine Learning, Robotics, Software",793,Less than $1M,Active,11-50,Seed,7000000.0,2013
4,Series E,"Artificial Intelligence, Enterprise Software, Machine Learning, Robotics",871,,Active,101-250,Late Stage Venture,121300000.0,2010
5,Series A,"Artificial Intelligence, Machine Learning, Manufacturing, SaaS, Video","1,193",$1M to $10M,Active,11-50,Early Stage Venture,12000000.0,2017
6,Series B,Artificial Intelligence,"1,845",,Active,101-250,Early Stage Venture,20200000.0,2013
7,Series B,"Aerospace, Artificial Intelligence, CleanTech, Cloud Computing, Drone Management, Drones, Facilities Support Services, Machine Learning, Physical Security, SaaS","2,170",,Active,11-50,Early Stage Venture,23450000.0,2015
8,Series C,"Artificial Intelligence, Consumer Electronics, Industrial Engineering, Machine Learning, Product Research, Robotics","2,355",$100M to $500M,Active,501-1000,Late Stage Venture,940000000.0,2012
9,Series C,"Artificial Intelligence, Big Data, Bioinformatics, Machine Learning, Robotics","2,422",,Active,251-500,Late Stage Venture,574140000.0,2013
10,Series A,"Artificial Intelligence, Automotive, Autonomous Vehicles, Machine Learning, Robotics, Transportation","2,383",$10M to $50M,Active,11-50,Early Stage Venture,20000000.0,2015
11,Series C,"Analytics, Artificial Intelligence, Automotive, Big Data, Internet of Things, Machine Learning, Manufacturing, Robotics, SaaS","2,489",$1M to $10M,Active,51-100,Late Stage Venture,59917000.0,2012
12,Series B,"Artificial Intelligence, Consumer Electronics, Machine Learning, Robotics","2,800",$1M to $10M,Active,11-50,Early Stage Venture,72699999.0,2012
13,Series C,"Biotechnology, Health Care, Medical Device","3,263",$1M to $10M,Active,11-50,Late Stage Venture,73667993.0,2013
14,Series A,"Artificial Intelligence, Hardware, Machine Learning, National Security, Robotics","3,119",$1M to $10M,Active,101-250,Early Stage Venture,23144999.0,2015
15,Series A,"Artificial Intelligence, Cloud Computing, Computer, Machine Learning, Network Security, Robotics, Software","3,072",,Active,501-1000,Early Stage Venture,130000000.0,2015
16,Venture - Series Unknown,"Artificial Intelligence, Biotechnology, Health Care, Internet of Things, Machine Learning, Manufacturing, Robotics, Software","3,267",,Active,101-250,,129912589.0,2014
17,Undisclosed,"Artificial Intelligence, Human Computer Interaction, Machine Learning, Neuroscience","1,234",$10M to $50M,Active,51-100,,67000000.0,2015
18,Venture - Series Unknown,"Artificial Intelligence, Machine Learning, Robotics","3,533",,Active,51-100,,122000000.0,2010
19,Series B,"Artificial Intelligence, Cloud Data Services, Drones, Machine Learning, Robotics, Software","3,386",$1M to $10M,Active,11-50,Early Stage Venture,46570000.0,2013
20,Series B,"E-Commerce, Information Technology, Machine Learning, Robotics, Supply Chain Management","3,582",,Active,11-50,Early Stage Venture,34316130.0,2014
21,Series A,"Autonomous Vehicles, Electric Vehicle, Machine Learning, Robotics","3,591",$1M to $10M,Active,51-100,Early Stage Venture,23250000.0,2015
22,Venture - Series Unknown,"Artificial Intelligence, Automotive, Autonomous Vehicles, Logistics, Machine Learning, Robotics, Software","4,296",,Closed,11-50,M&A,77000000.0,2015
23,Pre-Seed,"Computer, Enterprise Software, Human Resources, Industrial Automation, Information Services, Information Technology, Machine Learning, Robotics","4,708",,Active,11-50,Seed,680000.0,2018
24,Seed,"Artificial Intelligence, Autonomous Vehicles, Computer Vision, Enterprise Software, Machine Learning, Outsourcing","4,832",$1M to $10M,Active,11-50,Seed,2470000.0,2015
25,Secondary Market,"Artificial Intelligence, Autonomous Vehicles, Internet of Things, Machine Learning, Robotics","5,010",,Active,51-100,Early Stage Venture,140000000.0,2017
26,Series C,"Artificial Intelligence, Automotive, Autonomous Vehicles, Computer Vision, Machine Learning, Security","5,071",,Active,51-100,Late Stage Venture,69400000.0,2007
27,Series B,"Artificial Intelligence, Business Intelligence, Enterprise Software, Mobile Apps, SaaS, Smart Building","5,241",,Active,51-100,M&A,19847000.0,2013
28,Series A,"Artificial Intelligence, Industrial Manufacturing, Machine Learning, Manufacturing, Robotics","6,173",,Active,,Early Stage Venture,3700000.0,None
29,Series B,"Autonomous Vehicles, E-Commerce, Electronics, Information Technology, Manufacturing, Robotics","6,036",,Active,251-500,Early Stage Venture,1032148855.0,2016
30,Seed,Robotics,"6,897",,Active,,Seed,9106271.0,2018
31,Grant,"Artificial Intelligence, Industrial Automation, Machine Learning, Robotics, Software","6,059",,Active,51-100,,5800000.0,2015
32,Seed,"Artificial Intelligence, CRM, Human Resources, Information Technology, Machine Learning, Robotics, SaaS, Software","5,235",,Active,11-50,Seed,3386249.0,2017
33,Series A,"Artificial Intelligence, Industrial, Machine Learning, Power Grid, Robotics","7,004",$1M to $10M,Active,51-100,Early Stage Venture,9000000.0,2016
34,Series A,"Artificial Intelligence, Computer Vision, Drones, Machine Learning, Robotics","7,082",,Active,11-50,Early Stage Venture,25000000.0,2015
35,Seed,"Apps, Artificial Intelligence, Autonomous Vehicles, Infrastructure, Internet of Things, Machine Learning, Mapping Services, Public Transportation, SaaS, Transportation","6,957",,Active,51-100,Seed,3900000.0,2016
36,Series A,"Artificial Intelligence, Robotics, Software","7,191",,Active,11-50,Early Stage Venture,13300000.0,2015
37,Convertible Note,"Computer Vision, Consumer Electronics, Hardware, Machine Learning, Manufacturing, Robotics","8,068",Less than $1M,Active,1-10,Seed,3360354.0,2014
38,Venture - Series Unknown,"Biotechnology, Electronics, Industrial Engineering, Information Technology, Machine Learning, Manufacturing, Robotics","8,238",,Active,11-50,,34637769.0,2009
39,Venture - Series Unknown,"Artificial Intelligence, Audio, Children, Machine Learning, Natural Language Processing, Smart Home, Speech Recognition, Wearables","8,843",Less than $1M,Active,11-50,,5470000.0,2013
40,Venture - Series Unknown,"Information Technology, Intelligent Systems, Robotics","9,047",,Active,1-10,,3465813.0,2015
42,Series A,"Agriculture, Analytics, Image Recognition, Robotics","8,249",,Active,1-10,M&A,22420781.0,2012
43,Seed,"AgTech, Farming, Machine Learning, Robotics","9,493",$1M to $10M,Active,1-10,Seed,2300000.0,2018
44,Series A,"Artificial Intelligence, Machine Learning, Robotics, Wearables","9,456",,Active,11-50,Early Stage Venture,23049996.0,2016
45,Series A,"Human Computer Interaction, Industrial Automation, Machine Learning, Robotics, Wearables","10,016",,Active,11-50,Early Stage Venture,6817778.0,2017
46,Series B,"Artificial Intelligence, Autonomous Vehicles, Machine Learning, Robotics, Security","9,933",$1M to $10M,Active,11-50,Early Stage Venture,53300000.0,2016
47,Series A,"Artificial Intelligence, Food and Beverage, Machine Learning, Robotics","10,173",,Active,,Early Stage Venture,3700000.0,None
48,Seed,"Chemical, Industrial","10,381",,Active,,Seed,5000000.0,2017
49,Seed,"Artificial Intelligence, Consumer Electronics, Hardware, Machine Learning, Motion Capture, Robotics, Software, Video, Wearables","10,439",Less than $1M,Active,11-50,Seed,6000000.0,2015
50,Venture - Series Unknown,"Artificial Intelligence, Hardware, Robotics","10,047",$1M to $10M,Active,11-50,,10000000.0,2014
51,Seed,"Artificial Intelligence, Automotive, Autonomous Vehicles, Hardware, Last Mile Transportation, Machine Learning, Robotics, Software, Transportation","10,665",,Active,1-10,M&A,2220000.0,2015
52,Series A,"Artificial Intelligence, Industrial Manufacturing, Machine Learning, Robotics","10,443",,Active,11-50,Early Stage Venture,9518074.0,2014
53,Series A,"Artificial Intelligence, Computer Vision, E-Commerce, Internet, Machine Learning, Robotics","11,487",,Active,11-50,Early Stage Venture,10000000.0,2014
54,Series A,"Analytics, Artificial Intelligence, Big Data, Information Technology, Machine Learning, Robotics, Software","11,169",,Active,101-250,Early Stage Venture,12000000.0,2015
55,Series A,"Analytics, Artificial Intelligence, Enterprise Software, Health Care, Machine Learning, Natural Language Processing, Predictive Analytics, Real Time, Robotics, Speech Recognition, Virtual Assistant","11,176",,Active,11-50,Early Stage Venture,1500000.0,2016
56,Pre-Seed,"Cyber Security, Network Security, Robotics","10,855",,Active,11-50,Seed,841762.0,2017
57,Series A,"Drones, Machine Learning, Robotics","10,880",$1M to $10M,Active,11-50,Early Stage Venture,21269389.0,2014
58,Seed,"Agriculture, Farming, Machine Learning, Robotics","11,996",,Active,11-50,Seed,6500000.0,2019
59,Series A,"Artificial Intelligence, Automotive, Big Data, Drones, Machine Learning, Robotics","11,982",,Active,1-10,Early Stage Venture,15000000.0,2014
60,Seed,"Artificial Intelligence, Biotechnology, Machine Learning, Robotics, Therapeutics","11,612",$1M to $10M,Active,11-50,Seed,3660000.0,2012
